100AM,,1.275,103.8436
313@Somerset,,1.3009,103.8384
321 Clementi,,1.312,103.765
888 Plaza,,1.4371,103.7953
Admiralty Place,,1.4406,103.801
Alexandra Central,,1.2873,103.8051
Alexandra Retail Centre,,1.2738,103.8016
AMK Hub,,1.3695,103.8484
Anchorpoint,,1.2888,103.8051
Beauty World Centre,,1.3424,103.7763
Beauty World Plaza,,1.3418,103.7763
Bedok Mall,,1.3245,103.929
Bedok Point,,1.3236,103.9273
Boon Lay Shopping Centre,,1.3464,103.7125
Broadway Plaza,,1.3719,103.846
Buangkok Square,,1.3843,103.8821
Bugis Cube,,1.2982,3.8557
Bugis Junction,,1.3006,103.8549
Bugis+,,1.2996,103.8542
Bukit Panjang Plaza,,1.38,103.7642
Bukit Timah Plaza,,1.3386,103.7786
Canberra Plaza,,1.4433,103.8305
Capitol Piazza,,1.293,103.8512
Cathay Cineleisure Orchard,,1.3016,103.8364
Causeway Point,,1.4361,103.7859
Century Square,,1.3524,103.9439
Changi City Point,,1.3346,103.9624
City Plaza,,1.3148,103.8934
City Square Mall,,1.3112,103.8567
CityLink Mall,,1.2913,103.8552
Compass One,,1.3924,103.8954
Djitsun Mall,,1.3728,103.8477
Djitsun Mall Bedok,,1.3263,103.9295
Downtown East,,1.3776,103.9546
East Village,,1.3318,103.9463
Eastpoint Mall,,1.3427,103.953
Elias Mall,,1.3783,103.9419
Fajar Shopping Centre,,1.3839,103.7705
Far East Plaza,,1.3071,103.8333
Funan,,1.2913,103.8501
Gek Poh Shopping Centre,,1.3489,103.6976
Grantral Mall,,1.3143,103.7651
Great World City,,1.2936,103.8319
Greenridge Shopping Centre,,1.3853,103.7662
Greenwich V,,1.3874,103.8694
HarbourFront Centre,,1.2642,103.8204
Heartland Mall,,1.3595,103.8851
Hillion Mall,,1.3785,103.7633
HillV2,,1.3634,103.7643
Holland Village Shopping Mall,,1.3121,103.7962
Hougang 1,,1.3761,103.8792
Hougang Green Shopping Mall,,1.3796,103.8882
Hougang Mall,,1.3726,103.8937
i12 Katong,,1.3052,103.9051
IMM,,1.3348,103.7468
ION Orchard,,1.3039,103.832
JCube,,1.3333,103.7402
Jem,,1.3328,103.7433
Jewel Changi Airport,,1.3602,103.9898
Jubilee Square,,1.3717,103.8476
Junction 10,,1.3799,103.7607
Junction 8,,1.3507,103.8488
Junction 9,,1.4331,103.8416
Jurong Point,,1.3397,103.7067
Kallang Wave Mall,,1.3032,103.8729
Katong Shopping Centre,,1.3039,103.9012
Katong Square,,1.3047,103.9047
Katong V,,1.3036,103.903
Keat Hong Shopping Centre,,1.376,103.7411
KINEX,,1.3147,103.8948
KKH The Retail Mall,,1.3106,103.8468
Leisure Park Kallang,,1.3022,103.8764
Limbang Shopping Centre,,1.392,103.7434
Lot One,,1.3851,103.7449
Loyang Point,,1.367,103.9644
Lucky Plaza,,1.3045,103.8339
Marina Bay Financial Centre Tower 3,,1.279,103.8545
Marina Bay Link Mall,,1.2795,103.8543
Marina Bay Sands,,1.2847,103.861
Marina One,,1.2776,103.8531
Marina Square,,1.2912,103.8577
Marsiling Mall,,1.4335,103.7804
Midpoint Orchard,,1.3016,103.8386
Millenia Walk,,1.2928,103.8598
Mustafa Shopping Centre,,1.309851,103.85555
NEX,,1.3508,103.8723
Ngee Ann City,,1.3026,103.8346
Northpoint City,,1.428,103.8364
Oasis Terraces,,1.4022823,103.9127329
Orchard Central,,1.3006,103.8399
Orchard Gateway,,1.301,103.8389
Orchard Plaza,,1.301,103.8411
Orchard Shopping Centre,,1.303,103.8258
Our Tampines Hub,,1.353,103.9394
Palais Renaissance,,1.3067,103.8296
Parkway Parade,,1.3013,103.9052
Paya Lebar Quarter (PLQ),,1.3174,103.8926
Paya Lebar Square,,1.3192,103.8926
People's Park Centre,,1.2858,103.844
People's Park Complex,,1.2842,103.8425
Pioneer Mall,,1.3421,103.6974
Plaza Singapura,,1.3005,103.8452
Punggol Plaza,,1.3942,103.913
Queensway Shopping Centre,,1.2878,103.8036
Raffles City,,1.2938,103.8534
Rail Mall,,1.3582,103.768
Rivervale Mall,,1.392,103.9047
Rivervale Plaza,,1.3854,103.9019
Rochester Mall,,1.3056,103.7882
Roxy Square,,1.3045,103.9029
Scotts Square,,1.3059,103.833
Sembawang Shopping Centre,,1.4419,103.8251
Serangoon Plaza,,1.3109,103.8552
Shaw House and Centre,,1.3063,103.8318
Sim Lim Square,,1.303,103.8529
Singapore Post Centre (Singpost Centre),,1.319,103.8944
Square 2,,1.3208,103.8441
Sun Plaza,,1.4483,103.8197
Sunshine Place,,1.378,103.7392
Suntec City,,1.295,103.8583
Taman Jurong Shopping Centre,,1.3343,103.7204
Tampines 1,,1.3542,103.945
Tampines Mall,,1.3525,103.9447
Tanglin Mall,,1.3049,103.8236
Tangs,,1.3048,103.8329
Tanjong Pagar Centre,,1.277,103.8458
Teck Whye Shopping Centre,,1.3801,103.7524
Tekka Centre,,1.3063,103.8507
The Central @ Clarke Quay,,1.289,103.8466
The Centrepoint,,1.3021,103.8398
The Clementi Mall,,1.3149,103.7643
The Paragon,,1.3039,103.8358
The Seletar Mall,,1.3915,103.8761
The Shoppes at Marina Bay Sands,,1.2837,103.8592
The South Beach,,1.2956,103.8564
The Star Vista,,1.3068,103.7884
Thomson Plaza,,1.3548,103.8308
Tiong Bahru Plaza,,1.2866,103.8275
United Square Shopping Mall,,1.3173,103.8437
Upper Serangoon Shopping Centre,,1.354,103.8787
Velocity@Novena Square,,1.3199,103.8439
Vista Point,,1.4307,103.794
VivoCity,,1.2644,103.8222
Waterway Point,,1.4067,103.9022
West Coast Plaza,,1.3036,103.7665
West Mall,,1.35,103.7492
Westgate,,1.3345,103.7426
Wheelock Place,,1.3047,103.8305
White Sands,,1.3724,103.9497
Wisma Atria,,1.3037,103.8333
Wisteria Mall,,1.4181,103.8408
Woodlands Mart,,1.4456,103.7981
Woodlands North Plaza,,1.4427,103.7907
Yew Tee Point,,1.3972,103.7468
Yew Tee Square,,1.3981,103.7469
Zhongshan Mall,,1.3271,103.8464